Perusahaan,ROA2019,ROA2020,ROE2019,ROE2020,ROI2019,ROI2020,DAR2019,DAR2020,DER2019,DER2020
ADHI,0.018,0.001,0.097,0.004,0.018,0.002,0.813,0.854,4.343,5.833
DGIK,0.001,-0.012,0.002,-0.023,0.005,-0.017,0.498,0.416,0.991,0.713
NRCA,0.041,0.025,0.083,0.048,0.035,0.025,0.504,0.481,1.017,0.926
PTPP,0.020,0.005,0.070,0.019,0.002,0.004,0.707,0.738,2.415,2.818
TOTL,0.059,0.038,0.163,0.095,0.054,0.036,0.637,0.606,1.751,1.536
WIKA,0.042,0.005,0.136,0.019,0.004,0.004,0.691,0.755,2.232,3.089
WSKT,0.008,-0.090,0.035,-0.573,0.008,-0.089,0.762,0.843,3.210,5.369
JKON,0.041,0.011,0.075,0.019,0.046,0.022,0.453,0.412,0.827,0.702
CSIS,-0.020,0.023,-0.035,0.046,-0.020,0.024,0.563,0.502,1.289,1.008
IDPR,-0.002,-0.253,-0.004,-0.516,-0.002,-0.251,0.393,0.491,0.649,0.966
TOPS,-0.070,-0.058,-0.123,-0.090,-0.068,-0.058,0.570,0.640,1.327,1.779
WEGE,0.074,0.026,0.122,0.040,0.074,0.026,0.603,0.639,1.520,1.771
PBSA,0.018,0.061,0.072,0.260,0.019,0.068,0.256,0.237,0.344,0.310
SRKN,0.082,0.006,0.147,0.010,0.081,0.008,0.559,0.636,1.268,1.750
SSIA,0.017,-0.010,0.038,-0.023,0.011,-0.014,0.447,0.445,0.807,0.802
TAMA,0.012,-0.024,0.014,-0.034,0.011,-0.023,0.836,0.704,5.097,2.380
